name,status,species,type,gender
Goomby,Alive,Alien,Soulless Puppet,Male
Hairspray Fan,Alive,Alien,Soulless Puppet,Female
Jesus Christ,Alive,Human,Soulless Puppet,Male
Josh,Dead,Human,Soulless Puppet,Male
Josh's Sister,Dead,Human,Soulless Puppet,Female
Leah,Alive,unknown,Soulless Puppet,Female
Marcus,Alive,Human,Soulless Puppet,Male
Mike Johnson,Alive,Human,Soulless Puppet,Male
Mr. Celery & Friends,Alive,unknown,Soulless Puppet,Genderless
Musical Fan,Alive,Alien,Soulless Puppet,Male
Phantom of the Opera Fan,Alive,Alien,Soulless Puppet,Male
Phoenixperson,Alive,Alien,Soulless Puppet,Male
Private Smith,unknown,Human,Soulless Puppet,Male
Professor Sanchez,Dead,Human,Soulless Puppet,Male
Ramamama Lord,Alive,Human,Soulless Puppet,Male
Ruth Bader Ginsburg,Alive,Human,Soulless Puppet,Female
Sarge,Alive,Human,Soulless Puppet,Male
Shrek The Musical Fan,Alive,Alien,Soulless Puppet,Male
Snuffles,Alive,Animal,Soulless Puppet,Male
Storylord,Alive,Human,Soulless Puppet,Male
Tammy Guetermann,Alive,Human,Soulless Puppet,Female
The Concept of Time,Alive,unknown,Soulless Puppet,Genderless
Beth Smith,Alive,Human,Soulless Puppet,Female
Summer Smith,Alive,Human,Soulless Puppet,Female
Morty Smith,Alive,Human,Soulless Puppet,Male
Rick Sanchez,Alive,Human,Soulless Puppet,Male
Train Cop,Dead,Human,Soulless Puppet,Male
Train Cops,Alive,Human,Soulless Puppet,Female
Train Cops Instructor,Dead,Human,Soulless Puppet,Male
Darth Poopybutthole,Alive,Poopybutthole,Soulless Puppet,Male
Evil Morty,Alive,Human,Soulless Puppet,Male
Morty’s Disguise,Alive,Human,Soulless Puppet,Female
Rick’s Disguise,Alive,Human,Soulless Puppet,Male
Uncle Nibbles,Dead,Alien,Soulless Puppet,Male
Angry Glorzo,Dead,Alien,Glorzo,Male
Bruce,Dead,Alien,Glorzo,Male
Council of Glorzos Member,Dead,Alien,Glorzo,Male
Council of Glorzos Member,Dead,Alien,Glorzo,Male
Old Glorzo,Dead,Alien,Glorzo,Male
Shane,unknown,Alien,Glorzo,Male
Steve,Dead,Alien,Glorzo,Male
Troy,Dead,Alien,Glorzo,Male
Crystal Dealers Boss,Dead,Alien,,Male
Crystal Dealer,Dead,Alien,,Male
Crystal Dealer,Dead,Alien,,Male
Crystal Dealer,Dead,Alien,,Male
SWAT Officer,Dead,Human,,Male
Plane Crash Survivor,unknown,Human,,Female
Plane Crash Survivor,unknown,Human,,Male
Heroine Keith,Alive,Human,,Male
Impervious to Acid SWAT Officer,Dead,Human,,Male
Johnny Carson,Alive,Human,,Male
Sonia Sotomayor,Alive,Human,,Female
Morty’s Father-in-law,Alive,Human,,Male
Morty’s Mother-in-law,Alive,Human,,Female
Morty’s Girlfriend,Alive,Human,,Female
Gaia,Alive,unknown,Planet,Female
Reggie,Dead,Mythological Creature,Zeus,Male
Ticktock,unknown,Humanoid,Clay-Person,Genderless
Florflock,Alive,Humanoid,Clay-Person,Genderless
Squeeb,Alive,Humanoid,Clay-Person,Genderless
Defiance Beth,Alive,Human,Clone,Female
Defiance Squanchette,Alive,Alien,Cat-Person,Female
Defiance Doctor,Alive,Alien,,Male
New Improved Galactic Federation Guard,Dead,Alien,Gromflomite,Male
New Improved Galactic Federation Guard,Dead,Alien,Gromflomite,Male
Mr. Nimbus,Alive,Mythological Creature,Sexy Aquaman,Male
Hoovy,Dead,Humanoid,Narnian,Male
Bova,Dead,Humanoid,Narnian,Female
Japheth,Dead,Humanoid,Narnian,Male
Japheth's Middle Son,Dead,Humanoid,Narnian,Male
Japheth's Eldest Son,Dead,Humanoid,Narnian,Male
Japheth's Youngest Son,Dead,Humanoid,Narnian,Male
Japheth's Grandson,Dead,Humanoid,Narnian,Male
Adam,Dead,Humanoid,Narnian,Male
Adam's Mother,Dead,Humanoid,Narnian,Female
Warlock,Dead,Humanoid,Narnian,Male
Evolved Narnian,Alive,Humanoid,Narnian,Male
Mr. Nimbus Secretary,Alive,Animal,Starfish,Female
Evolved Narnian Disguised as Morty,Alive,Humanoid,Narnian,Male
Mr. Nimbus' Squid,Dead,Animal,Squid,Male
Scarecrow Rick,Dead,Robot,Decoy,Male
Scarecrow Summer,Dead,Robot,Decoy,Female
Scarecrow Jerry,Dead,Robot,Decoy,Male
Scarecrow Morty,Dead,Robot,Decoy,Male
Scarecrow Beth,Dead,Robot,Decoy,Female
Glockenspiel Jerry,Alive,Robot,Decoy,Male
Glockenspiel Beth,Dead,Robot,Decoy,Female
Glockenspiel Rick,Dead,Robot,Decoy,Male
Glockenspiel Summer,Dead,Robot,Decoy,Female
Glockenspiel Morty,Dead,Robot,Decoy,Male
Wicker Beth,Dead,Robot,Decoy,Female
Wicker Rick,Dead,Robot,Decoy,Male
Wicker Morty,Dead,Robot,Decoy,Male
Wicker Summer,Dead,Robot,Decoy,Female
Metal Rick,Dead,Robot,Decoy,Male
Gun Brain Rick,Dead,Robot,Decoy,Male
Mr. Always Wants to be Hunted,Alive,Poopybutthole,,Male
Squid Costume Beth,Dead,Robot,Decoy,Female
Squid Costume Jerry,Dead,Robot,Decoy,Male
Squid Costume Morty,Dead,Robot,Decoy,Male
Squid Costume Rick,Dead,Robot,Decoy,Male
Squid Costume Summer,Dead,Robot,Decoy,Female
Dracula,Alive,Mythological Creature,Vampire,Male
Steve,Alive,Human,,Male
When Wolf,Alive,Mythological Creature,Whenwolf,Male
Too Cute to Murder Beth,Dead,Robot,Decoy,Female
Too Cute to Murder Rick,Dead,Robot,Decoy,Male
Too Cute to Murder Jerry,Dead,Robot,Decoy,Male
Too Cute to Murder Morty,Dead,Robot,Decoy,Male
Too Cute to Murder Summer,Dead,Robot,Decoy,Female
Planetina,Alive,Humanoid,Summon,Female
Daphne,Alive,Alien,Morglutzian,Female
Diesel Weasel,Alive,Animal,Weasel,Male
Eddie,Dead,Human,,Male
Xing Ho,Dead,Human,,Female
Air Tina-Teer,Dead,Human,,Female
Water Tina-Teer,Dead,Human,,Male
Planetina Buyer,Dead,Human,,Male
Tony Galopagus,Alive,Human,,Male
Sticky,Alive,unknown,Super Sperm Monster,Male
Professor Shabooboo,Dead,Human,,Male
Sperm Queen,Dead,unknown,Super Sperm Monster,Female
CHUD King,Alive,Animal,CHUD,Male
Princess Ponietta,Alive,Animal,CHUD,Female
Naruto Smith,Alive,Humanoid,Giant Incest Baby,Male
Blazen,Dead,Human,,Male
Kathy Ireland,Alive,Human,,Female
Amazing Johnathan,Alive,Human,,Male
Foal Sanchez,Alive,Humanoid,CHUD Human Mix,unknown
Spaceman,Dead,Human,,Male
Cirque du Soleil Zumanity Member,Alive,Human,,Female
Cirque du Soleil Zumanity Member,Alive,Human,,Male
Cirque du Soleil Zumanity Member,Alive,Human,,Female
Cirque du Soleil Zumanity Member,Dead,Human,,Female
Cirque du Soleil Zumanity Member,Alive,Human,,Female
Bruce Chutback,Alive,Human,,Male
Alyson Hannigan,Dead,Alien,,Female
Cenobite,unknown,Mythological Creature,Demon,Male
Cenobite,unknown,Mythological Creature,Demon,Female
Cenobite,unknown,Mythological Creature,Demon,Male
Cenobite,unknown,Mythological Creature,Demon,Male
Cenobite,unknown,Mythological Creature,Demon,Male
Coat Rack Head,unknown,Mythological Creature,Demon,Male
Mousetrap Nipples,unknown,Mythological Creature,Demon,Male
Changeformer,Dead,Robot,Changeformer,Male
Changeformer,Dead,Robot,Changeformer,Male
Space Cruiser,Alive,Robot,Artificial Intelligence,Female
Coop,Alive,Human,,Male
Dwayne,Alive,Human,,Male
Franklin D. Roosevelt,Dead,Humanoid,Guinea Pig for the Polio Vaccine,Male
President's General,Alive,Human,,Male
Giant Assassin Hidden in the Statue of Liberty,Alive,Robot,,Female
Turkey Morty,Alive,Animal,Turkey,Male
Turkey Rick,Alive,Animal,Turkey,Male
Turkey President Curtis,Alive,Animal,Turkey,Male
Martínez,Dead,Animal,Turkey,Male
Marvin,Alive,Human,,Male
Jackey,Alive,Human,,Male
Native Alien,Alive,Alien,,Male
Pilgrim Alien,Alive,Alien,,Male
President Turkey,Dead,Humanoid,Turkey Human Mix,Male
Mary-Lou,Alive,Human,,Female
Big Fat rick,unknown,Human,,Male
Hothead Rick,Dead,Human,,Male
Ricardo Montoya,unknown,Human,,Male
Wrap-it-up Little Rick,Dead,Human,,Male
Yo-yo Rick,unknown,Human,,Male
Voiceoverian,Dead,Alien,Parasite,unknown
Voiceoverian,Dead,Alien,Parasite,unknown
Gotron Pilot,Dead,Human,Anime,Male
Gotron Pilot,Dead,Human,Anime,Male
Gotron Pilot,Dead,Human,Anime,Male
Young Memory Rick,Alive,Human,Memory,Male
Memory Tammy,Dead,Human,Memory,Female
Rick's Garage,Alive,Robot,Artificial Intelligence,Female
Memory Squanchy,Dead,Alien,Memory,Male
Memory Rick,Dead,Human,Memory,Male
Memory Rick,Dead,Human,Memory,Male
Memory Geardude,Dead,Alien,Memory,Male
Birdperson & Tammy's Child,Alive,Humanoid,Bird-Person Human Mix,Female
Two Crows,Alive,Animal,Crow,unknown
Mr. Cookie President,Alive,Alien,Cookie,Male
Nick,Dead,Human,,Male
Harold (Garbage Goober),Alive,Alien,,Male
Harold's Wife,Alive,Alien,,Female
Alien Crow,Dead,Alien,Crow,Male
Alien Crow,Dead,Alien,Crow,Female
Samansky,Dead,Alien,Normal Size Bug,Male
Palicki,Alive,Alien,Normal Size Bug,Male
Sarge,Alive,Alien,Normal Size Bug,Male
Slartivartian,Dead,Alien,Slartivartian,Male
Ferkusian,Alive,Alien,Ferkusian,Male
Morglutzian,Dead,Alien,Morglutzian,Male
Super Turkey,Dead,Humanoid,Turkey Human Mix,Male
7+7 Years Old Morty,unknown,Human,,Male
26 Years Old Morty,Dead,Human,,Male
40 Years Old Morty,unknown,Human,,Male
Andy,unknown,Human,Mascot,Male
Baby Mouse Skin Morty,Alive,Human,,Male
Metaphor for Capitalism,Dead,Humanoid,,Male
Beth Sanchez,Dead,Human,,Female
Crow Scare,Alive,Humanoid,Scarecrow,Male
Pussifer,Dead,Animal,Tiger,Male
Stan Lee Rick,unknown,Human,,Male
Re-Build-a-Morty Morty,unknown,Human,,Male
Deformed Morty,Dead,Humanoid,,Male
Crow Horse,Alive,Robot,Crow Horse,unknown
Bald Rick,Dead,Human,,Male
Punk Rick,Dead,Human,,Male
Party Rick,Dead,Human,,Male
Scar Rick,Dead,Human,,Male
Long Hair Rick,unknown,Human,,Male
Redhead Rick,Dead,Human,,Male
Redhead Morty,Dead,Human,,Male
Gotron,unknown,Robot,Ferret Robot,Genderless
Young Jerry,unknown,Human,,Male
Young Beth,unknown,Human,,Female
Young Beth,unknown,Human,,Female
Young Jerry,unknown,Human,,Male
Butter Robot,Alive,Robot,Passing Butter Robot,Genderless
